Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Cost,Category
Eggs Scrambled or fried,2,128,220,13,16,14,0,1,1.2,Dairy products
Yolks,2,34,120,6,10,8,0,0,1,"Fats, Oils, Shortenings"
Butter,1T.,14,100,0,11,10,0,0,0.01,"Fats, Oils, Shortenings"
Hydrogenated cooking fat,1/2 cup,100,665,0,100,88,0,0,3,"Fats, Oils, Shortenings"
Lard,1/2 cup,110,992,0,110,92,0,0,0.8,"Fats, Oils, Shortenings"
Margarine,1/2 cup,112,806,0,91,76,0,0,1,"Fats, Oils, Shortenings"
Mayonnaise,1 T.,15,110,0,12,5,0,0,0.1,"Fats, Oils, Shortenings"
Corn oil,1 T.,14,125,0,14,5,0,0,0.08,"Fats, Oils, Shortenings"
Olive oil,1T.,14,125,0,14,3,0,0,0.03,"Fats, Oils, Shortenings"
Safflower seed oil,1 T.,14,125,0,14,3,0,0,0.3,"Fats, Oils, Shortenings"
French dressing,1 T.,15,60,0,6,2,0,2,0.15,"Fats, Oils, Shortenings"
Thousand Island sauce,1 T.,15,75,0,8,3,0,1,0.15,"Fats, Oils, Shortenings"
Salt pork,2 oz.,60,470,3,55,0,0,0,1,"Meat, Poultry"
Bacon,2 slices,16,95,4,8,7,0,1,0.34,"Meat, Poultry"
Beef,3 oz.,85,245,23,16,15,0,0,1.87,"Meat, Poultry"
Hamburger,3 oz.,85,245,21,17,15,0,0,3,"Meat, Poultry"
Ground lean,3 oz.,85,185,24,10,9,0,0,1,"Meat, Poultry"
Roast beef,3 oz.,85,390,16,36,35,0,0,2,"Meat, Poultry"
Steak,3 oz.,85,330,20,27,25,0,0,2.24,"Meat, Poultry"
"Steak, lean, as round",3 oz.,85,220,24,12,11,0,0,1.5,"Meat, Poultry"
Corned beef,3 oz.,85,185,22,10,9,0,0,1.68,"Meat, Poultry"
Corned beef hash canned,3 oz.,85,120,12,8,7,0,6,0.75,"Meat, Poultry"
Corned beef hash Dried,2 oz.,56,115,19,4,4,0,0,1.48,"Meat, Poultry"
Pot-pie,1 pie,227,480,18,28,25,0,32,3,"Meat, Poultry"
Corned beef hash Stew,1 cup,235,185,15,10,9,0,15,4,"Meat, Poultry"
chicken,3 oz.,85,185,23,9,7,0,0,1,"Meat, Poultry"
"Fried, breast or leg and thigh chicken",3 oz.,85,245,25,15,11,0,0,1,"Meat, Poultry"
Roasted chicken,3 1/2 oz.,100,290,25,20,16,0,0,1.54,"Meat, Poultry"
"Chicken livers, fried",3 med.,100,140,22,14,12,0,2.3,1.32,"Meat, Poultry"
"Duck, domestic",3 1/2 oz.,100,370,16,28,0,0,0,2.64,"Meat, Poultry"
"Lamb, chop, broiled",4 oz.,115,480,24,35,33,0,03.81,"Meat, Poultry"
Leg roasted,3 oz.,86,314,20,14,14,0,0,3.3,"Meat, Poultry"
"Shoulder, braised",3 oz.,85,285,18,23,21,0,0,2.81,"Meat, Poultry"
"Pork, chop, 1 thick",3 1/2 oz.,100,260,16,21,18,0,0,1.32,"Meat, Poultry"
Ham pan-broiled,3 oz.,85,290,16,22,19,0,0,1.12,"Meat, Poultry"
"Ham, canned, spiced",2 oz.,57,165,8,14,12,0,1,1,"Meat, Poultry"
Pork roast,3 oz.,85,310,21,24,21,0,0,1.12,"Meat, Poultry"
Pork sausage,3 1/2 oz.,100,475,18,44,40,0,0,1.32,"Meat, Poultry"
Turkey,3 1/2 oz.,100,265,27,15,0,0,0,1.1,"Meat, Poultry"
Veal,3 oz.,85,185,23,9,8,0,0,3.96,"Meat, Poultry"
Roast,3 oz.,85,305,13,14,13,0,0,3.74,"Meat, Poultry"
Clams,3 oz.,85,87,12,1,0,0,2,1.3,"Fish, Seafood"
